id,url,com2us_id,family_id,name,awaken_level,element,archetype,skill_ups_to_max,max_lvl_hp,max_lvl_attack,max_lvl_defense,speed,crit_rate,crit_damage,resistance,accuracy
28,https://swarfarm.com/api/v2/monsters/28/,10202,10200,Imp,0,Fire,Attack,12.0,6420,604,450,114,15,50,15,0
29,https://swarfarm.com/api/v2/monsters/29/,10212,10200,Cogma,1,Fire,Attack,16.0,7740,648,483,115,15,50,15,0
30,https://swarfarm.com/api/v2/monsters/30/,10302,10300,Pixie,0,Fire,Attack,11.0,6090,637,439,110,15,50,15,0
31,https://swarfarm.com/api/v2/monsters/31/,10312,10300,Tatu,1,Fire,Attack,15.0,6750,736,461,111,15,50,15,0
32,https://swarfarm.com/api/v2/monsters/32/,10702,10700,Warbear,0,Fire,HP,10.0,7740,538,428,101,15,50,15,0
33,https://swarfarm.com/api/v2/monsters/33/,10712,10700,Ursha,1,Fire,HP,13.0,9885,549,439,102,15,50,15,0
34,https://swarfarm.com/api/v2/monsters/34/,10402,10400,Yeti,0,Fire,HP,10.0,7905,516,439,100,15,50,15,0
35,https://swarfarm.com/api/v2/monsters/35/,10412,10400,Tantra,1,Fire,HP,13.0,8895,560,494,101,15,50,15,0
36,https://swarfarm.com/api/v2/monsters/36/,12301,12300,Forest Keeper,0,Water,Defense,7.0,6255,351,549,88,15,50,15,0
37,https://swarfarm.com/api/v2/monsters/37/,12701,12700,Ghost,0,Water,Support,6.0,7905,483,307,101,15,50,15,0
38,https://swarfarm.com/api/v2/monsters/38/,13001,13000,Horned Frog,0,Water,HP,5.0,8235,373,395,100,15,50,15,0
39,https://swarfarm.com/api/v2/monsters/39/,12901,12900,Mimick,0,Water,Defense,6.0,5760,362,571,86,15,50,15,0
40,https://swarfarm.com/api/v2/monsters/40/,12401,12400,Mushroom,0,Water,Attack,4.0,6750,538,329,104,15,50,15,0
41,https://swarfarm.com/api/v2/monsters/41/,13101,13100,Sandman,0,Water,Defense,6.0,4275,439,593,102,15,50,15,0
42,https://swarfarm.com/api/v2/monsters/42/,12201,12200,Slime,0,Water,Defense,7.0,4935,329,659,102,15,50,15,0
43,https://swarfarm.com/api/v2/monsters/43/,14201,14200,Angelmon,0,Water,Material,0.0,165,11,11,0,0,0,0,0
44,https://swarfarm.com/api/v2/monsters/44/,18201,18200,King Angelmon,0,Water,Material,0.0,165,11,11,0,0,0,0,0
45,https://swarfarm.com/api/v2/monsters/45/,12801,12800,Low Elemental,0,Water,Support,12.0,5925,527,395,100,15,50,15,0
46,https://swarfarm.com/api/v2/monsters/46/,12501,12500,Maned Boar,0,Water,HP,7.0,8400,494,428,93,15,50,15,0
47,https://swarfarm.com/api/v2/monsters/47/,12601,12600,Monster Flower,0,Water,HP,4.0,10215,461,340,95,15,50,15,0
48,https://swarfarm.com/api/v2/monsters/48/,16401,16400,Skull Soldier,0,Water,Defense,11.0,7410,439,549,99,15,50,15,0
49,https://swarfarm.com/api/v2/monsters/49/,13601,13600,Surprise Box,0,Water,Defense,6.0,8235,329,604,92,15,50,15,0
50,https://swarfarm.com/api/v2/monsters/50/,14211,14200,Blue Angelmon,1,Water,Material,0.0,165,11,11,0,0,0,0,0
51,https://swarfarm.com/api/v2/monsters/51/,18211,18200,Blue King Angelmon,1,Water,Material,0.0,165,11,11,0,0,0,0,0
52,https://swarfarm.com/api/v2/monsters/52/,12811,12800,Tigresse,1,Water,Support,12.0,6750,582,450,100,15,50,15,0
53,https://swarfarm.com/api/v2/monsters/53/,10801,10800,Elemental,0,Water,Attack,11.0,6255,681,384,106,15,50,15,0
54,https://swarfarm.com/api/v2/monsters/54/,10811,10800,Daharenos,1,Water,Attack,13.0,7080,758,417,107,15,50,15,0
55,https://swarfarm.com/api/v2/monsters/55/,10901,10900,Garuda,0,Water,Support,10.0,10380,340,450,90,15,50,15,0
56,https://swarfarm.com/api/v2/monsters/56/,10911,10900,Konamiya,1,Water,Support,15.0,11700,384,483,91,15,50,15,0
57,https://swarfarm.com/api/v2/monsters/57/,12101,12100,Harpu,0,Water,Support,10.0,6585,527,516,105,15,50,15,0
58,https://swarfarm.com/api/v2/monsters/58/,12111,12100,Sisroo,1,Water,Support,14.0,7245,582,582,106,15,50,15,0
59,https://swarfarm.com/api/v2/monsters/59/,10601,10600,Hellhound,0,Water,Attack,10.0,6750,615,417,114,15,50,15,0
60,https://swarfarm.com/api/v2/monsters/60/,10611,10600,Tarq,1,Water,Attack,12.0,8565,714,362,115,15,50,15,0
61,https://swarfarm.com/api/v2/monsters/61/,13201,13200,Howl,0,Water,Support,8.0,5760,516,582,98,15,50,15,0
62,https://swarfarm.com/api/v2/monsters/62/,13211,13200,Lulu,1,Water,Support,12.0,8730,527,538,99,15,50,15,0
63,https://swarfarm.com/api/v2/monsters/63/,10201,10200,Imp,0,Water,Attack,11.0,4605,648,527,110,15,50,15,0
64,https://swarfarm.com/api/v2/monsters/64/,10211,10200,Fynn,1,Water,Attack,15.0,5265,736,560,111,15,50,15,0
65,https://swarfarm.com/api/v2/monsters/65/,10301,10300,Pixie,0,Water,Support,12.0,8235,494,439,110,15,50,15,0
66,https://swarfarm.com/api/v2/monsters/66/,10311,10300,Kacey,1,Water,Support,16.0,9225,549,483,111,15,50,15,0
67,https://swarfarm.com/api/v2/monsters/67/,11101,11100,Salamander,0,Water,Defense,11.0,6585,450,593,98,15,50,15,0
68,https://swarfarm.com/api/v2/monsters/68/,11111,11100,Kaimann,1,Water,Defense,15.0,7410,494,659,99,15,50,15,0
69,https://swarfarm.com/api/v2/monsters/69/,15201,15200,Vagabond,0,Water,HP,13.0,8235,439,494,97,15,50,15,0
70,https://swarfarm.com/api/v2/monsters/70/,15211,15200,Allen,1,Water,HP,13.0,10050,461,516,98,15,50,15,0
71,https://swarfarm.com/api/v2/monsters/71/,14801,14800,Viking,0,Water,Attack,10.0,5925,516,571,96,15,50,15,0
73,https://swarfarm.com/api/v2/monsters/73/,10401,10400,Yeti,0,Water,Defense,12.0,9225,362,505,100,15,50,15,0
74,https://swarfarm.com/api/v2/monsters/74/,10411,10400,Kunda,1,Water,Defense,14.0,10215,395,571,101,15,50,15,0
75,https://swarfarm.com/api/v2/monsters/75/,12303,12300,Forest Keeper,0,Wind,Defense,7.0,6090,395,516,88,15,50,15,0
76,https://swarfarm.com/api/v2/monsters/76/,12703,12700,Ghost,0,Wind,Support,6.0,7410,527,296,101,15,50,15,0
77,https://swarfarm.com/api/v2/monsters/77/,13003,13000,Horned Frog,0,Wind,HP,5.0,8070,417,362,100,15,50,15,0
78,https://swarfarm.com/api/v2/monsters/78/,12903,12900,Mimick,0,Wind,Defense,6.0,5925,373,549,86,15,50,15,0
79,https://swarfarm.com/api/v2/monsters/79/,12403,12400,Mushroom,0,Wind,Attack,4.0,7575,494,318,104,15,50,15,0
80,https://swarfarm.com/api/v2/monsters/80/,14203,14200,Angelmon,0,Wind,Material,0.0,165,11,11,0,0,0,0,0
81,https://swarfarm.com/api/v2/monsters/81/,14213,14200,Gold Angelmon,1,Wind,Material,0.0,165,11,11,0,0,0,0,0
82,https://swarfarm.com/api/v2/monsters/82/,18203,18200,King Angelmon,0,Wind,Material,0.0,165,11,11,0,0,0,0,0
83,https://swarfarm.com/api/v2/monsters/83/,18213,18200,Gold King Angelmon,1,Wind,Material,0.0,165,11,11,0,0,0,0,0
84,https://swarfarm.com/api/v2/monsters/84/,12803,12800,Low Elemental,0,Wind,Support,12.0,6585,505,373,100,15,50,15,0
85,https://swarfarm.com/api/v2/monsters/85/,12813,12800,Samour,1,Wind,Support,12.0,7410,582,406,100,15,50,15,0
86,https://swarfarm.com/api/v2/monsters/86/,12503,12500,Maned Boar,0,Wind,HP,7.0,8235,527,406,93,15,50,15,0
87,https://swarfarm.com/api/v2/monsters/87/,12603,12600,Monster Flower,0,Wind,HP,4.0,9720,439,395,95,15,50,15,0
88,https://swarfarm.com/api/v2/monsters/88/,16403,16400,Skull Soldier,0,Wind,Defense,11.0,7245,472,527,99,15,50,15,0
89,https://swarfarm.com/api/v2/monsters/89/,13603,13600,Surprise Box,0,Wind,Defense,6.0,8070,373,571,92,15,50,15,0
90,https://swarfarm.com/api/v2/monsters/90/,10803,10800,Elemental,0,Wind,Attack,8.0,5925,714,373,106,15,50,15,0
91,https://swarfarm.com/api/v2/monsters/91/,10813,10800,Taharus,1,Wind,Attack,12.0,6420,780,439,107,15,50,15,0
92,https://swarfarm.com/api/v2/monsters/92/,10103,10100,Fairy,0,Wind,Support,12.0,7410,527,461,103,15,50,15,0
93,https://swarfarm.com/api/v2/monsters/93/,10113,10100,Aeilene,1,Wind,Support,15.0,7905,604,516,104,15,50,15,0
94,https://swarfarm.com/api/v2/monsters/94/,10903,10900,Garuda,0,Wind,Support,13.0,7245,428,571,90,15,50,15,0
95,https://swarfarm.com/api/v2/monsters/95/,10913,10900,Lindermen,1,Wind,Support,17.0,7905,483,637,91,15,50,15,0
96,https://swarfarm.com/api/v2/monsters/96/,12202,12200,Slime,0,Fire,Defense,7.0,4935,329,659,102,15,50,15,0
97,https://swarfarm.com/api/v2/monsters/97/,12103,12100,Harpu,0,Wind,Support,7.0,7080,560,450,107,15,50,15,0
98,https://swarfarm.com/api/v2/monsters/98/,12113,12100,Seal,1,Wind,Support,11.0,8070,615,494,108,15,50,15,0
99,https://swarfarm.com/api/v2/monsters/99/,10603,10600,Hellhound,0,Wind,Attack,10.0,7080,659,351,112,15,50,15,0
100,https://swarfarm.com/api/v2/monsters/100/,10613,10600,Gamir,1,Wind,Attack,10.0,6915,790,395,113,15,50,15,0
101,https://swarfarm.com/api/v2/monsters/101/,13203,13200,Howl,0,Wind,Support,8.0,7245,450,549,98,15,50,15,0
102,https://swarfarm.com/api/v2/monsters/102/,13213,13200,Chichi,1,Wind,Support,11.0,7905,516,604,99,15,50,15,0
103,https://swarfarm.com/api/v2/monsters/103/,10203,10200,Imp,0,Wind,Attack,12.0,5100,659,483,115,15,50,15,0
104,https://swarfarm.com/api/v2/monsters/104/,10213,10200,Ralph,1,Wind,Attack,16.0,5595,790,483,113,15,50,15,0
105,https://swarfarm.com/api/v2/monsters/105/,10303,10300,Pixie,0,Wind,Support,12.0,7410,472,516,110,15,50,15,0
106,https://swarfarm.com/api/v2/monsters/106/,10313,10300,Shannon,1,Wind,Support,13.0,8730,505,560,111,15,50,15,0
107,https://swarfarm.com/api/v2/monsters/107/,11103,11100,Salamander,0,Wind,Defense,11.0,6750,527,505,98,15,50,15,0
108,https://swarfarm.com/api/v2/monsters/108/,11113,11100,Lukan,1,Wind,Defense,15.0,7245,582,582,99,15,50,15,0
109,https://swarfarm.com/api/v2/monsters/109/,15203,15200,Vagabond,0,Wind,HP,13.0,8730,450,450,97,15,50,15,0
110,https://swarfarm.com/api/v2/monsters/110/,15213,15200,Roid,1,Wind,HP,17.0,10215,483,483,98,15,50,15,0
111,https://swarfarm.com/api/v2/monsters/111/,10703,10700,Warbear,0,Wind,HP,10.0,8895,373,516,101,15,50,15,0
112,https://swarfarm.com/api/v2/monsters/112/,10713,10700,Ramagos,1,Wind,HP,12.0,10545,384,560,102,15,50,15,0
113,https://swarfarm.com/api/v2/monsters/113/,10403,10400,Yeti,0,Wind,Defense,12.0,7905,417,538,100,15,50,15,0
114,https://swarfarm.com/api/v2/monsters/114/,10413,10400,Rakaja,1,Wind,Defense,16.0,8235,483,615,101,15,50,15,0
115,https://swarfarm.com/api/v2/monsters/115/,15105,-10000,Devilmon,0,Dark,Material,0.0,165,11,11,0,0,0,0,0
116,https://swarfarm.com/api/v2/monsters/116/,12705,12700,Ghost,0,Dark,Support,6.0,6915,538,318,101,15,50,15,0
117,https://swarfarm.com/api/v2/monsters/117/,13005,13000,Horned Frog,0,Dark,HP,5.0,8070,417,362,100,15,50,15,0
118,https://swarfarm.com/api/v2/monsters/118/,12905,12900,Mimick,0,Dark,Defense,6.0,6090,406,505,86,15,50,15,0
119,https://swarfarm.com/api/v2/monsters/119/,13105,13100,Sandman,0,Dark,Defense,6.0,4770,428,571,102,15,50,15,0
120,https://swarfarm.com/api/v2/monsters/120/,14205,14200,Angelmon,0,Dark,Material,0.0,165,11,11,0,0,0,0,0
121,https://swarfarm.com/api/v2/monsters/121/,14215,14200,Dark Angelmon,1,Dark,Material,0.0,165,11,11,0,0,0,0,0
122,https://swarfarm.com/api/v2/monsters/122/,18205,18200,King Angelmon,0,Dark,Material,0.0,165,11,11,0,0,0,0,0
123,https://swarfarm.com/api/v2/monsters/123/,18215,18200,Dark King Angelmon,1,Dark,Material,0.0,165,11,11,0,0,0,0,0
124,https://swarfarm.com/api/v2/monsters/124/,12805,12800,Low Elemental,0,Dark,Support,12.0,6420,472,417,100,15,50,15,0
125,https://swarfarm.com/api/v2/monsters/125/,12815,12800,Havana,1,Dark,Support,12.0,7080,527,483,100,15,50,15,0
126,https://swarfarm.com/api/v2/monsters/126/,12605,12600,Monster Flower,0,Dark,HP,4.0,9885,428,395,95,15,50,15,0
127,https://swarfarm.com/api/v2/monsters/127/,13605,13600,Surprise Box,0,Dark,Defense,6.0,9060,318,560,92,15,50,15,0
128,https://swarfarm.com/api/v2/monsters/128/,10105,10100,Fairy,0,Dark,Attack,12.0,7080,538,472,101,15,50,15,0
129,https://swarfarm.com/api/v2/monsters/129/,10115,10100,Sorin,1,Dark,Attack,16.0,7740,615,516,102,15,50,15,0
130,https://swarfarm.com/api/v2/monsters/130/,10905,10900,Garuda,0,Dark,Support,13.0,7575,450,527,92,15,50,15,0
131,https://swarfarm.com/api/v2/monsters/131/,10915,10900,Rizak,1,Dark,Support,13.0,8400,527,560,93,15,50,15,0
132,https://swarfarm.com/api/v2/monsters/132/,13205,13200,Howl,0,Dark,Support,8.0,6090,494,582,98,15,50,15,0
133,https://swarfarm.com/api/v2/monsters/133/,13215,13200,Chacha,1,Dark,Support,11.0,8400,549,538,99,15,50,15,0
134,https://swarfarm.com/api/v2/monsters/134/,10205,10200,Imp,0,Dark,Attack,12.0,6585,604,439,113,15,50,15,0
135,https://swarfarm.com/api/v2/monsters/135/,10215,10200,Garok,1,Dark,Attack,12.0,7410,725,428,112,15,50,15,0
136,https://swarfarm.com/api/v2/monsters/136/,10305,10300,Pixie,0,Dark,Attack,12.0,6915,593,428,110,15,50,15,0
137,https://swarfarm.com/api/v2/monsters/137/,10315,10300,Camaryn,1,Dark,Attack,16.0,7410,703,450,111,15,50,15,0
138,https://swarfarm.com/api/v2/monsters/138/,11105,11100,Salamander,0,Dark,Defense,11.0,7080,450,560,98,15,50,15,0
139,https://swarfarm.com/api/v2/monsters/139/,11115,11100,Decamaron,1,Dark,Defense,11.0,7575,516,626,99,15,50,15,0
140,https://swarfarm.com/api/v2/monsters/140/,10705,10700,Warbear,0,Dark,HP,10.0,7410,329,659,101,15,50,15,0
141,https://swarfarm.com/api/v2/monsters/141/,10715,10700,Gorgo,1,Dark,HP,13.0,11205,351,549,102,15,50,15,0
142,https://swarfarm.com/api/v2/monsters/142/,14204,14200,Angelmon,0,Light,Material,0.0,165,11,11,0,0,0,0,0
143,https://swarfarm.com/api/v2/monsters/143/,14214,14200,White Angelmon,1,Light,Material,0.0,165,11,11,0,0,0,0,0
144,https://swarfarm.com/api/v2/monsters/144/,18204,18200,King Angelmon,0,Light,Material,0.0,165,11,11,0,0,0,0,0
145,https://swarfarm.com/api/v2/monsters/145/,18214,18200,White King Angelmon,1,Light,Material,0.0,165,11,11,0,0,0,0,0
148,https://swarfarm.com/api/v2/monsters/148/,13604,13600,Surprise Box,0,Light,Defense,6.0,8895,351,538,92,15,50,15,0
149,https://swarfarm.com/api/v2/monsters/149/,10604,10600,Hellhound,0,Light,Attack,10.0,7410,615,373,110,15,50,15,0
150,https://swarfarm.com/api/v2/monsters/150/,10614,10600,Shamar,1,Light,Attack,13.0,8235,725,373,111,15,50,15,0
151,https://swarfarm.com/api/v2/monsters/151/,13204,13200,Howl,0,Light,Support,8.0,6750,472,560,98,15,50,15,0
152,https://swarfarm.com/api/v2/monsters/152/,13214,13200,Shushu,1,Light,Support,11.0,9060,450,593,99,15,50,15,0
153,https://swarfarm.com/api/v2/monsters/153/,10204,10200,Imp,0,Light,Attack,11.0,7245,560,439,112,15,50,15,0
154,https://swarfarm.com/api/v2/monsters/154/,10214,10200,Taru,1,Light,Attack,15.0,7905,604,516,114,15,50,15,0
155,https://swarfarm.com/api/v2/monsters/155/,10304,10300,Pixie,0,Light,Support,11.0,7245,549,450,110,15,50,15,0
156,https://swarfarm.com/api/v2/monsters/156/,10314,10300,Cheryl,1,Light,Support,14.0,8400,582,505,111,15,50,15,0
157,https://swarfarm.com/api/v2/monsters/157/,11104,11100,Salamander,0,Light,Defense,11.0,7410,461,527,98,15,50,15,0
158,https://swarfarm.com/api/v2/monsters/158/,11114,11100,Sharman,1,Light,Defense,11.0,8400,505,582,99,15,50,15,0
159,https://swarfarm.com/api/v2/monsters/159/,14804,14800,Viking,0,Light,Defense,10.0,6750,472,560,96,15,50,15,0
160,https://swarfarm.com/api/v2/monsters/160/,14814,14800,Jansson,1,Light,Defense,16.0,8400,472,615,97,15,50,15,0
161,https://swarfarm.com/api/v2/monsters/161/,10404,10400,Yeti,0,Light,Defense,12.0,7575,384,593,100,15,50,15,0
162,https://swarfarm.com/api/v2/monsters/162/,10414,10400,Arkajan,1,Light,Defense,12.0,8565,417,659,101,15,50,15,0
163,https://swarfarm.com/api/v2/monsters/163/,12814,12800,Varis,1,Light,Support,12.0,6420,659,395,100,15,50,15,0
164,https://swarfarm.com/api/v2/monsters/164/,14902,14900,Amazon,0,Fire,Attack,14.0,8895,670,384,101,15,50,15,0
166,https://swarfarm.com/api/v2/monsters/166/,19002,19000,Battle Mammoth,0,Fire,HP,16.0,9885,450,538,98,15,50,15,0
168,https://swarfarm.com/api/v2/monsters/168/,13702,13700,Bearman,0,Fire,HP,10.0,10215,362,604,100,15,50,15,0
170,https://swarfarm.com/api/v2/monsters/170/,18502,18500,Beast Hunter,0,Fire,Attack,9.0,8070,626,483,99,15,50,15,0
172,https://swarfarm.com/api/v2/monsters/172/,15602,15600,Bounty Hunter,0,Fire,Attack,11.0,7905,571,549,94,15,50,15,0
174,https://swarfarm.com/api/v2/monsters/174/,17202,17200,Drunken Master,0,Fire,Attack,13.0,7575,648,494,98,15,50,15,0
175,https://swarfarm.com/api/v2/monsters/175/,14912,14900,Ceres,1,Fire,Attack,14.0,10050,801,340,102,15,50,15,0
176,https://swarfarm.com/api/v2/monsters/176/,19012,19000,Granite,1,Fire,HP,16.0,11535,472,571,99,15,50,15,0
177,https://swarfarm.com/api/v2/monsters/177/,13712,13700,Kungen,1,Fire,HP,14.0,12345,384,604,101,15,50,15,0
178,https://swarfarm.com/api/v2/monsters/178/,18512,18500,Nangrim,1,Fire,Attack,9.0,8565,725,516,100,15,50,15,0
179,https://swarfarm.com/api/v2/monsters/179/,15612,15600,Randy,1,Fire,Attack,11.0,9060,626,582,110,15,50,15,0
180,https://swarfarm.com/api/v2/monsters/180/,19302,19300,Cow Girl,0,Fire,Attack,14.0,7740,615,516,101,15,50,15,0
181,https://swarfarm.com/api/v2/monsters/181/,19312,19300,Anne,1,Fire,Attack,14.0,8895,703,516,102,15,50,15,25
182,https://swarfarm.com/api/v2/monsters/182/,17212,17200,Xiao Chun,1,Fire,Attack,13.0,8565,747,494,99,30,50,15,0
183,https://swarfarm.com/api/v2/monsters/183/,10102,10100,Fairy,0,Fire,Attack,16.0,8730,560,505,101,15,50,15,0
184,https://swarfarm.com/api/v2/monsters/184/,10112,10100,Iselia,1,Fire,Attack,16.0,8400,725,527,102,30,50,15,0
185,https://swarfarm.com/api/v2/monsters/185/,11402,11400,Golem,0,Fire,Defense,9.0,9060,362,681,88,15,50,15,0
186,https://swarfarm.com/api/v2/monsters/186/,11412,11400,Kugo,1,Fire,Defense,9.0,10545,384,725,89,15,50,15,25
187,https://swarfarm.com/api/v2/monsters/187/,11502,11500,Griffon,0,Fire,Support,9.0,8235,516,582,110,15,50,15,0
188,https://swarfarm.com/api/v2/monsters/188/,11512,11500,Spectra,1,Fire,Support,9.0,9060,571,637,126,15,50,15,0
189,https://swarfarm.com/api/v2/monsters/189/,16002,16000,Grim Reaper,0,Fire,Attack,12.0,8730,670,395,90,15,50,15,0
190,https://swarfarm.com/api/v2/monsters/190/,16012,16000,Sath,1,Fire,Attack,12.0,8565,823,417,91,15,50,15,0
191,https://swarfarm.com/api/v2/monsters/191/,10502,10500,Harpy,0,Fire,Attack,12.0,6750,769,428,102,15,50,15,0
192,https://swarfarm.com/api/v2/monsters/192/,10512,10500,Lucasha,1,Fire,Attack,16.0,6915,889,461,103,15,50,15,0
193,https://swarfarm.com/api/v2/monsters/193/,12002,12000,High Elemental,0,Fire,Attack,10.0,5760,780,483,101,15,50,15,0
194,https://swarfarm.com/api/v2/monsters/194/,12012,12000,Kahli,1,Fire,Attack,12.0,6255,878,516,102,15,50,15,0
195,https://swarfarm.com/api/v2/monsters/195/,15802,15800,Imp Champion,0,Fire,Attack,13.0,8070,604,505,101,15,50,15,0
196,https://swarfarm.com/api/v2/monsters/196/,15812,15800,Fairo,1,Fire,Attack,13.0,8565,703,538,102,30,50,15,0
197,https://swarfarm.com/api/v2/monsters/197/,11702,11700,Inferno,0,Fire,Attack,9.0,6255,823,406,94,15,50,15,0
198,https://swarfarm.com/api/v2/monsters/198/,11712,11700,Tagaros,1,Fire,Attack,13.0,7740,911,384,95,15,50,15,0
199,https://swarfarm.com/api/v2/monsters/199/,11002,11000,Inugami,0,Fire,Attack,4.0,8400,615,472,107,15,50,15,0
200,https://swarfarm.com/api/v2/monsters/200/,11012,11000,Raoq,1,Fire,Attack,6.0,9060,681,527,108,15,50,15,0
201,https://swarfarm.com/api/v2/monsters/201/,16502,16500,Living Armor,0,Fire,Defense,13.0,8565,472,604,97,15,50,15,0
202,https://swarfarm.com/api/v2/monsters/202/,16512,16500,Iron,1,Fire,Defense,13.0,9390,472,714,98,15,50,15,25
203,https://swarfarm.com/api/v2/monsters/203/,17802,17800,Lizardman,0,Fire,Defense,10.0,8070,538,571,102,15,50,15,0
204,https://swarfarm.com/api/v2/monsters/204/,17812,17800,Igmanodon,1,Fire,Defense,10.0,8730,582,648,103,30,50,15,0
205,https://swarfarm.com/api/v2/monsters/205/,15402,15400,Magical Archer,0,Fire,Attack,15.0,7410,692,461,104,15,50,15,0
206,https://swarfarm.com/api/v2/monsters/206/,15412,15400,Amanda,1,Fire,Attack,15.0,9060,790,417,105,15,50,15,0
207,https://swarfarm.com/api/v2/monsters/207/,15002,15000,Martial Cat,0,Fire,HP,9.0,9060,571,472,103,15,50,15,0
208,https://swarfarm.com/api/v2/monsters/208/,15012,15000,Mei,1,Fire,HP,9.0,10380,626,494,104,15,50,40,0
209,https://swarfarm.com/api/v2/monsters/209/,17702,17700,Minotauros,0,Fire,HP,13.0,8730,549,516,98,15,50,15,0
210,https://swarfarm.com/api/v2/monsters/210/,17712,17700,Burentau,1,Fire,HP,13.0,9720,615,549,99,15,50,15,0
211,https://swarfarm.com/api/v2/monsters/211/,15902,15900,Mystic Witch,0,Fire,Support,13.0,8730,549,516,96,15,50,15,0
212,https://swarfarm.com/api/v2/monsters/212/,15912,15900,Rebecca,1,Fire,Support,13.0,9555,626,549,97,15,50,15,0
213,https://swarfarm.com/api/v2/monsters/213/,18702,18700,Penguin Knight,0,Fire,HP,10.0,9225,538,494,104,15,50,15,0
214,https://swarfarm.com/api/v2/monsters/214/,18712,18700,Naki,1,Fire,HP,13.0,11700,560,472,105,15,50,15,0
215,https://swarfarm.com/api/v2/monsters/215/,11102,11100,Salamander,0,Fire,Defense,15.0,7575,538,604,98,15,50,15,0
216,https://swarfarm.com/api/v2/monsters/216/,11112,11100,Krakdon,1,Fire,Defense,15.0,8235,615,648,99,15,50,15,0
217,https://swarfarm.com/api/v2/monsters/217/,11302,11300,Serpent,0,Fire,HP,9.0,10545,505,439,99,15,50,15,0
218,https://swarfarm.com/api/v2/monsters/218/,11312,11300,Fao,1,Fire,HP,11.0,12015,549,461,100,15,50,15,0
